%_Annual_J-D__________________ L-OTI(^S^o^N^C) Change 1957-2017                  
%   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.4377
   2   1 -177.00  -89.00        0.4377
   3   1 -175.00  -89.00        0.4377
   4   1 -173.00  -89.00        0.4377
   5   1 -171.00  -89.00        0.4377
   6   1 -169.00  -89.00        0.4377
   7   1 -167.00  -89.00        0.4377
   8   1 -165.00  -89.00        0.4377
   9   1 -163.00  -89.00        0.4377
  10   1 -161.00  -89.00        0.4377
  11   1 -159.00  -89.00        0.4377
  12   1 -157.00  -89.00        0.4377
  13   1 -155.00  -89.00        0.4377
  14   1 -153.00  -89.00        0.4377
  15   1 -151.00  -89.00        0.4377
  16   1 -149.00  -89.00        0.4377
  17   1 -147.00  -89.00        0.4377
  18   1 -145.00  -89.00        0.4377
  19   1 -143.00  -89.00        0.4377
  20   1 -141.00  -89.00        0.4377
  21   1 -139.00  -89.00        0.4377
  22   1 -137.00  -89.00        0.4377
  23   1 -135.00  -89.00        0.4377
  24   1 -133.00  -89.00        0.4377
  25   1 -131.00  -89.00        0.4377
  26   1 -129.00  -89.00        0.4377
  27   1 -127.00  -89.00        0.4377
  28   1 -125.00  -89.00        0.4377
  29   1 -123.00  -89.00        0.4377
  30   1 -121.00  -89.00        0.4377
  31   1 -119.00  -89.00        0.4377
  32   1 -117.00  -89.00        0.4377
  33   1 -115.00  -89.00        0.4377
  34   1 -113.00  -89.00        0.4377
  35   1 -111.00  -89.00        0.4377
  36   1 -109.00  -89.00        0.4377
  37   1 -107.00  -89.00        0.4377
  38   1 -105.00  -89.00        0.4377
  39   1 -103.00  -89.00        0.4377
  40   1 -101.00  -89.00        0.4377
  41   1  -99.00  -89.00        0.4377
  42   1  -97.00  -89.00        0.4377
  43   1  -95.00  -89.00        0.4377
  44   1  -93.00  -89.00        0.4377
  45   1  -91.00  -89.00        0.4377
  46   1  -89.00  -89.00        0.4377
  47   1  -87.00  -89.00        0.4377
  48   1  -85.00  -89.00        0.4377
  49   1  -83.00  -89.00        0.4377
  50   1  -81.00  -89.00        0.4377
  51   1  -79.00  -89.00        0.4377
  52   1  -77.00  -89.00        0.4377
  53   1  -75.00  -89.00        0.4377
  54   1  -73.00  -89.00        0.4377
  55   1  -71.00  -89.00        0.4377
  56   1  -69.00  -89.00        0.4377
  57   1  -67.00  -89.00        0.4377
